24. June 2018 | 18:29:54 | 4 forbidden weapons have been loaded.
24. June 2018 | 18:29:54 | JunkBuster has been configurated.
24. June 2018 | 18:29:54 | JunkBuster has successfully been loaded.
24. June 2018 | 18:30:31 | Current JunkBuster configuration:
24. June 2018 | 18:30:31 | - WeaponHack = 1
24. June 2018 | 18:30:31 | - MoneyHack = 1
24. June 2018 | 18:30:31 | - Jetpack = 1
24. June 2018 | 18:30:31 | - HealthHack = 1
24. June 2018 | 18:30:31 | - ArmourHack = 1
24. June 2018 | 18:30:31 | - DriveBy = 2
24. June 2018 | 18:30:31 | - Spam = 0
24. June 2018 | 18:30:31 | - CommandSpam = 0
24. June 2018 | 18:30:31 | - BadWords = 0
24. June 2018 | 18:30:31 | - CarJackHack = 1
24. June 2018 | 18:30:31 | - TeleportHack = 1
24. June 2018 | 18:30:31 | - MaxPing = 1000
24. June 2018 | 18:30:31 | - SpectateHack = 0
24. June 2018 | 18:30:31 | - Blacklist = 1
24. June 2018 | 18:30:31 | - IpBans = 1
24. June 2018 | 18:30:31 | - TempBans = 1
24. June 2018 | 18:30:31 | - SpawnKill = 3
24. June 2018 | 18:30:31 | - CapsLock = 1
24. June 2018 | 18:30:31 | - 3DSpeed = 0
24. June 2018 | 18:30:31 | - MaxSpeed = 230
24. June 2018 | 18:30:31 | - AdminImmunity = 1
24. June 2018 | 18:30:31 | - Advertisement = 1
24. June 2018 | 18:30:31 | - FreezeUpdate = 0
24. June 2018 | 18:30:31 | - SpawnTime = 10
24. June 2018 | 18:30:31 | - CheckpointTeleport = 1
24. June 2018 | 18:30:31 | - Airbreak = 1
24. June 2018 | 18:30:31 | - TankMode = 1
24. June 2018 | 18:30:31 | - WarnPlayers = 0
24. June 2018 | 18:30:31 | - SingleplayerCheats = 1
24. June 2018 | 18:30:31 | - MinFPS = 2
24. June 2018 | 18:30:31 | - DisableBadWeapons = 1
24. June 2018 | 18:30:31 | - CBug = 16
24. June 2018 | 18:30:31 | - AntiBugKill = 1
24. June 2018 | 18:30:31 | - NoReload = 20
24. June 2018 | 18:30:31 | - NoReloadForSawnOff = 4
24. June 2018 | 18:30:31 | - ActiveGMC = 2
24. June 2018 | 18:30:31 | - GMCBan = 0
24. June 2018 | 18:30:31 | - ServerSideHealth = 1
24. June 2018 | 18:30:31 | - CheckVMPos = 0
24. June 2018 | 18:30:31 | - QuickTurn = 1
24. June 2018 | 18:30:31 | 1 IP-bans have been loaded.
24. June 2018 | 18:30:31 | 0 temporary bans have been loaded.
24. June 2018 | 18:30:31 | 1 whitelist entries have been loaded.
24. June 2018 | 18:30:31 | 4 blacklist entries have been loaded.
24. June 2018 | 18:30:31 | 41 bad words have been loaded.
24. June 2018 | 18:30:31 | 4 forbidden weapons have been loaded.
24. June 2018 | 18:30:31 | JunkBuster has been configurated.
24. June 2018 | 18:30:31 | JunkBuster has successfully been loaded.
24. June 2018 | 18:33:00 | Current JunkBuster configuration:
24. June 2018 | 18:33:00 | - WeaponHack = 1
24. June 2018 | 18:33:00 | - MoneyHack = 1
24. June 2018 | 18:33:00 | - Jetpack = 1
24. June 2018 | 18:33:00 | - HealthHack = 1
24. June 2018 | 18:33:00 | - ArmourHack = 1
24. June 2018 | 18:33:00 | - DriveBy = 2
24. June 2018 | 18:33:00 | - Spam = 0
24. June 2018 | 18:33:00 | - CommandSpam = 0
24. June 2018 | 18:33:00 | - BadWords = 0
24. June 2018 | 18:33:00 | - CarJackHack = 1
24. June 2018 | 18:33:00 | - TeleportHack = 1
24. June 2018 | 18:33:00 | - MaxPing = 1000
24. June 2018 | 18:33:00 | - SpectateHack = 0
24. June 2018 | 18:33:00 | - Blacklist = 1
24. June 2018 | 18:33:00 | - IpBans = 1
24. June 2018 | 18:33:00 | - TempBans = 1
24. June 2018 | 18:33:00 | - SpawnKill = 3
24. June 2018 | 18:33:00 | - CapsLock = 1
24. June 2018 | 18:33:00 | - 3DSpeed = 0
24. June 2018 | 18:33:00 | - MaxSpeed = 230
24. June 2018 | 18:33:00 | - AdminImmunity = 1
24. June 2018 | 18:33:00 | - Advertisement = 1
24. June 2018 | 18:33:00 | - FreezeUpdate = 0
24. June 2018 | 18:33:00 | - SpawnTime = 10
24. June 2018 | 18:33:00 | - CheckpointTeleport = 1
24. June 2018 | 18:33:00 | - Airbreak = 1
24. June 2018 | 18:33:00 | - TankMode = 1
24. June 2018 | 18:33:00 | - WarnPlayers = 0
24. June 2018 | 18:33:00 | - SingleplayerCheats = 1
24. June 2018 | 18:33:00 | - MinFPS = 2
24. June 2018 | 18:33:00 | - DisableBadWeapons = 1
24. June 2018 | 18:33:00 | - CBug = 16
24. June 2018 | 18:33:00 | - AntiBugKill = 1
24. June 2018 | 18:33:00 | - NoReload = 20
24. June 2018 | 18:33:00 | - NoReloadForSawnOff = 4
24. June 2018 | 18:33:00 | - ActiveGMC = 2
24. June 2018 | 18:33:00 | - GMCBan = 0
24. June 2018 | 18:33:00 | - ServerSideHealth = 1
24. June 2018 | 18:33:00 | - CheckVMPos = 0
